BORD,QI478,QI478A,QI478E1,QI478E2,QI478E3,QI478E4,QI478E5,QI478E6,QI478E7,QI478E8,QI478E9,QI478E10,QI478F1,QI478F2_A,QI478F2_B,QI478F2_C,QI478F2_D,QI478F2_E,QI478F3,QI478F4,QI478F5,QI478F6,QI478G1,QI478G2_A,QI478G2_B,QI478G2_C,QI478G3,QI478G4,QI478H1,QI478H2,QI478H3,QI478H4,QI478H5,QI478H6,QI478H7,QI478H8_A,QI478H8_B,QI478H9,QI478H10,QI478H11,QI478H12,QI478I1,QI478I2,QI478I3,QI478I4_A,QI478I4_B,QI478I5,QI478I6,QI478I7,QI478I8,QI478J1,QI478J2,QI478J3,QI478J4_A,QI478J4_B,QI478J5,QI478J6,QI478J7,QI478J8,CASEID,BIDX,ID1
4,42,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,2,2,2,1, , , , , , , , , ,      000100601  2,1,2023
1,27,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,1,1,1,2,1,2,1, , , , , , , , , , , , , , , , , , ,      000102201  2,1,2023
2,24,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,1,1,1,2,2,2,2, , , , , , , , , , , , , , , , , , ,      000102801  1,1,2023
1,55,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,2,2,2,      000106501  2,1,2023
2,28,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , ,      000108001  1,1,2023
1,26,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,2,2,1,1,1,1,2,2,2,1, , , , , , , , , , , , , , , , , , ,      000108801  6,1,2023
1,10,0,4,1,1,1,1,1,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      000108801  9,1,2023
1,54,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2,1,1,1,1,3,1,1, , , , , , , , , ,      000603301  2,1,2023
1,46,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,1,2,1,2,1, , , , , , , , , ,      000604201  2,1,2023
1,43,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,2,2, , , , , , , , , ,      000609201  1,1,2023
3,55,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,2,1,2,1,      000612301  1,1,2023
3,33,0, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,1,1,1,1,1,2,3,2,1, , , , , , , , , , , , , , , , , , ,      000613701  3,1,2023
3,52,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,1,1,1,2,1,2,1, , , , , , , , , ,      000703301  1,1,2023
